Date	Hour	S1	S2	S3	S4	S5	S6	S7
01/01/2012	 0	76	71	76	75	69	76	66
01/01/2012	 1	76	71	76	75	69	76	63
01/01/2012	 2	76	71	76	75	69	76	66
01/01/2012	 3	76	71	76	74	69	76	66
01/01/2012	 4	76	70	76	74	69	76	59
01/01/2012	 5	76	70	76	74	69	75	65
01/01/2012	 6	76	70	76	74	69	76	65
01/01/2012	 7	76	70	76	74	69	76	64
01/01/2012	 8	76	70	76	74	69	76	63
01/01/2012	 9	76	70	76	74	69	76	62
01/01/2012	10	76	70	76	74	69	76	67
01/01/2012	11	76	70	76	74	69	76	63
01/01/2012	12	75	70	77	74	69	75	66
01/01/2012	13	75	70	76	74	69	75	61
01/01/2012	14	75	70	76	74	69	75	59
01/01/2012	15	75	70	70	74	69	75	62
01/01/2012	16	75	70	76	74	69	75	64
01/01/2012	17	75	70	76	74	69	75	66
01/01/2012	18	75	70	76	74	69	75	62
01/01/2012	19	75	70	76	74	69	75	67
01/01/2012	20	75	70	76	74	69	75	66
01/01/2012	21	75	70	76	74	69	75	64
01/01/2012	22	75	70	76	74	69	75	65
01/01/2012	23	75	70	76	74	69	75	63
01/02/2012	 0	75	70	76	74	69	75	67
01/02/2012	 1	75	70	76	74	69	75	66
01/02/2012	 2	75	70	76	74	69	75	65
01/02/2012	 3	75	70	76	74	68	75	61
01/02/2012	 4	75	70	76	74	69	75	61
01/02/2012	 5	75	70	76	74	68	75	61
01/02/2012	 6	75	70	76	74	69	75	64
01/02/2012	 7	75	70	76	74	69	75	63
01/02/2012	 8	75	70	76	74	69	75	62
01/02/2012	 9	75	70	75	74	69	75	67
01/02/2012	10	75	70	76	74	69	75	65
01/02/2012	11	75	70	77	74	69	76	64
01/02/2012	12	73	70	77	75	69	77	60
01/02/2012	13	73	70	77	75	70	77	60
01/02/2012	14	73	70	77	75	70	77	68
01/02/2012	15	72	70	78	75	70	77	62
01/02/2012	16	72	70	77	75	70	77	65
01/02/2012	17	72	70	76	75	70	77	60
01/02/2012	18	72	70	76	75	70	77	66
01/02/2012	19	74	70	76	75	69	76	66
01/02/2012	20	74	70	76	75	69	75	68
01/02/2012	21	74	70	76	74	69	75	66
01/02/2012	22	74	70	75	74	68	75	65
01/02/2012	23	75	70	75	74	69	75	68
01/03/2012	 0	75	70	75	74	68	75	66
01/03/2012	 1	75	70	75	74	68	75	64
01/03/2012	 2	75	70	75	74	68	75	62
01/03/2012	 3	75	70	75	74	68	75	61
01/03/2012	 4	75	70	75	74	69	75	68
01/03/2012	 5	75	70	75	74	69	75	68
01/03/2012	 6	75	70	75	74	69	75	68
01/03/2012	 7	75	70	75	74	68	75	63
01/03/2012	 8	75	71	75	74	69	75	66
01/03/2012	 9	75	71	77	74	69	75	63
01/03/2012	10	75	73	77	74	70	75	64
01/03/2012	11	75	73	77	75	70	76	69
01/03/2012	12	75	74	78	75	71	77	68
01/03/2012	13	75	74	78	75	71	77	60
01/03/2012	14	75	75	78	75	71	77	62
01/03/2012	15	75	75	78	76	71	77	65
01/03/2012	16	74	75	78	76	71	77	64
01/03/2012	17	74	75	78	76	72	77	63
01/03/2012	18	73	75	78	76	72	77	60
01/03/2012	19	74	75	78	76	71	76	63
01/03/2012	20	75	73	77	75	70	76	60
01/03/2012	21	75	73	77	75	70	76	62
01/03/2012	22	75	72	77	75	70	75	67
01/03/2012	23	75	72	77	74	70	75	67
01/04/2012	 0	75	72	77	74	70	75	61
01/04/2012	 1	75	72	77	74	69	75	64
01/04/2012	 2	75	72	76	74	70	75	67
01/04/2012	 3	75	72	76	74	70	76	61
01/04/2012	 4	75	72	76	74	69	76	62
01/04/2012	 5	75	72	76	74	70	76	61
01/04/2012	 6	75	72	76	74	69	76	66
01/04/2012	 7	75	72	76	74	70	76	66
01/04/2012	 8	75	72	76	74	69	76	60
01/04/2012	 9	75	72	76	74	69	76	62
01/04/2012	10	75	72	77	75	69	75	64
01/04/2012	11	75	74	78	75	69	77	64
01/04/2012	12	75	75	78	75	70	77	62
01/04/2012	13	75	75	78	75	70	77	62
01/04/2012	14	76	75	78	75	70	77	61
01/04/2012	15	76	75	78	75	70	77	65
01/04/2012	16	76	75	78	75	70	77	61
01/04/2012	17	76	75	78	75	71	77	63
01/04/2012	18	75	76	78	75	70	77	65
01/04/2012	19	75	74	78	75	70	77	67
01/04/2012	20	75	73	77	75	69	76	66
01/04/2012	21	75	72	77	75	69	76	64
01/04/2012	22	75	72	77	74	69	75	66
01/04/2012	23	75	72	77	75	69	75	63
01/05/2012	 0	75	72	77	74	69	75	66
01/05/2012	 1	75	72	77	75	69	75	67
01/05/2012	 2	75	72	77	74	69	75	62
01/05/2012	 3	75	71	77	74	69	75	65
01/05/2012	 4	75	71	77	74	69	75	61
01/05/2012	 5	75	71	77	74	69	75	63
01/05/2012	 6	75	71	77	74	69	75	64
01/05/2012	 7	75	71	77	74	69	75	67
01/05/2012	 8	76	72	76	76	70	76	66
01/05/2012	 9	76	73	77	77	71	76	58
01/05/2012	10	76	74	79	77	71	76	57
01/05/2012	11	77	74	80	77	72	76	58
01/05/2012	12	77	74	81	78	72	77	62
01/05/2012	13	77	73	79	76	72	77	60
01/05/2012	14	76	74	78	75	71	77	68
01/05/2012	15	76	74	79	75	72	77	67
01/05/2012	16	75	74	79	75	72	77	66
01/05/2012	17	74	74	79	75	71	77	63
01/05/2012	18	74	74	79	75	70	77	68
01/05/2012	19	73	72	79	75	70	77	65
01/05/2012	20	73	71	79	75	70	76	61
01/05/2012	21	73	71	78	75	70	76	60
01/05/2012	22	75	71	79	74	69	76	67
01/05/2012	23	75	71	78	75	69	76	66
01/06/2012	 0	75	71	78	74	69	76	68
01/06/2012	 1	75	71	78	74	69	76	61
01/06/2012	 2	76	71	78	74	69	76	65
01/06/2012	 3	76	71	78	74	69	76	67
01/06/2012	 4	76	71	78	74	69	76	66
01/06/2012	 5	76	71	78	74	69	76	67
01/06/2012	 6	76	71	78	74	69	76	68
01/06/2012	 7	76	71	78	74	69	76	65
01/06/2012	 8	76	71	78	74	69	75	60
01/06/2012	 9	74	72	78	74	69	75	66
01/06/2012	10	75	72	79	75	70	75	64
01/06/2012	11	76	74	79	76	70	76	60
01/06/2012	12	76	75	79	76	71	77	62
01/06/2012	13	76	75	80	77	72	77	67
01/06/2012	14	77	76	80	78	72	77	58
01/06/2012	15	77	76	81	78	72	77	61
01/06/2012	16	77	76	80	78	72	77	64
01/06/2012	17	76	77	80	77	72	77	59
01/06/2012	18	75	75	79	77	71	77	63
01/06/2012	19	74	73	79	76	71	77	62
01/06/2012	20	74	72	78	76	71	77	67
01/06/2012	21	75	71	79	76	70	76	66
01/06/2012	22	75	71	79	75	69	76	60
01/06/2012	23	75	71	79	75	69	76	61
01/07/2012	 0	75	71	79	75	69	75	66
01/07/2012	 1	75	70	79	75	69	75	69
01/07/2012	 2	75	70	79	75	69	75	66
01/07/2012	 3	76	70	79	75	69	75	63
01/07/2012	 4	76	70	79	75	69	75	67
01/07/2012	 5	76	70	78	74	68	75	62
01/07/2012	 6	76	70	78	74	69	75	66
01/07/2012	 7	76	70	78	74	68	75	63
01/07/2012	 8	76	70	78	74	69	75	62
01/07/2012	 9	76	70	78	74	69	75	62
01/07/2012	10	74	70	79	75	69	75	63
01/07/2012	11	73	70	79	75	69	75	69
01/07/2012	12	73	70	79	75	69	76	65
01/07/2012	13	73	70	79	75	69	75	60
01/07/2012	14	72	70	79	75	69	75	62
01/07/2012	15	72	70	79	75	69	75	65
01/07/2012	16	72	70	79	75	69	75	65
01/07/2012	17	73	70	79	74	69	75	66
01/07/2012	18	74	70	79	74	69	75	63
01/07/2012	19	74	70	79	74	69	75	69
01/07/2012	20	75	70	79	74	68	75	67
01/07/2012	21	75	70	79	74	68	75	63
01/07/2012	22	75	70	79	74	69	75	65
01/07/2012	23	75	70	79	74	69	75	69
01/08/2012	 0	75	70	79	74	68	75	68
01/08/2012	 1	75	70	79	74	68	75	67
01/08/2012	 2	75	70	79	73	68	75	62
01/08/2012	 3	75	69	79	73	68	75	67
01/08/2012	 4	75	69	79	73	68	75	69
01/08/2012	 5	75	69	79	73	68	75	67
01/08/2012	 6	75	69	78	73	68	75	60
