Date	Hour	S1	S2	S3	S4	S5	S6	S7
01/01/2018	 0	73	73	72	71	72	74	58
01/01/2018	 1	74	73	71	72	72	74	58
01/01/2018	 2	73	73	71	71	72	74	58
01/01/2018	 3	73	73	74	72	72	74	58
01/01/2018	 4	74	73	71	72	72	74	58
01/01/2018	 5	73	73	74	72	72	74	58
01/01/2018	 6	73	73	71	72	72	74	58
01/01/2018	 7	74	73	74	72	72	74	58
01/01/2018	 8	73	73	71	72	72	74	58
01/01/2018	 9	73	73	74	72	72	74	58
01/01/2018	10	74	74	71	72	72	74	58
01/01/2018	11	74	74	71	72	73	74	58
01/01/2018	12	73	74	71	72	72	74	58
01/01/2018	13	73	73	71	72	72	73	58
01/01/2018	14	72	73	71	72	72	73	58
01/01/2018	15	72	73	70	71	72	73	58
01/01/2018	16	72	73	70	72	72	72	58
01/01/2018	17	73	73	71	72	72	73	58
01/01/2018	18	73	73	71	72	72	74	58
01/01/2018	19	73	73	71	72	72	74	58
01/01/2018	20	73	74	71	72	72	74	58
01/01/2018	21	73	74	71	72	72	74	58
01/01/2018	22	73	73	71	72	72	74	59
01/01/2018	23	73	74	72	72	72	74	58
01/02/2018	 0	73	74	71	72	72	74	58
01/02/2018	 1	73	74	70	72	71	74	59
01/02/2018	 2	73	73	71	72	71	74	58
01/02/2018	 3	73	73	70	72	71	74	58
01/02/2018	 4	73	74	71	72	71	74	58
01/02/2018	 5	73	74	70	72	71	74	58
01/02/2018	 6	73	73	71	72	70	74	58
01/02/2018	 7	73	74	71	72	71	74	58
01/02/2018	 8	73	74	71	72	71	74	58
01/02/2018	 9	73	74	71	72	71	74	59
01/02/2018	10	74	74	71	72	71	74	59
01/02/2018	11	73	74	72	72	71	74	59
01/02/2018	12	73	73	71	73	71	74	59
01/02/2018	13	73	74	71	73	71	74	59
01/02/2018	14	73	73	71	73	71	73	59
01/02/2018	15	74	73	72	73	71	73	59
01/02/2018	16	73	73	72	73	71	73	59
01/02/2018	17	73	73	72	73	71	73	59
01/02/2018	18	74	73	72	72	72	74	59
01/02/2018	19	73	73	71	72	73	74	59
01/02/2018	20	73	73	71	72	73	74	59
01/02/2018	21	73	73	71	72	73	74	59
01/02/2018	22	73	73	71	72	72	74	59
01/02/2018	23	73	73	71	72	72	74	59
01/03/2018	 0	73	74	70	72	72	74	59
01/03/2018	 1	73	73	71	72	72	74	59
01/03/2018	 2	73	73	70	72	72	73	59
01/03/2018	 3	73	73	70	72	72	73	59
01/03/2018	 4	72	73	69	72	71	73	59
01/03/2018	 5	72	73	69	71	71	73	59
01/03/2018	 6	72	73	69	71	71	72	59
01/03/2018	 7	72	73	71	71	71	72	59
01/03/2018	 8	72	73	70	71	72	72	58
01/03/2018	 9	72	73	70	71	72	72	58
01/03/2018	10	72	73	72	71	72	72	58
01/03/2018	11	71	73	71	71	71	71	58
01/03/2018	12	71	73	71	71	70	71	58
01/03/2018	13	71	73	71	71	70	71	58
01/03/2018	14	71	73	71	71	70	71	58
01/03/2018	15	71	73	71	71	70	71	58
01/03/2018	16	71	72	71	71	71	71	58
01/03/2018	17	71	72	72	71	71	71	58
01/03/2018	18	71	72	71	71	71	71	58
01/03/2018	19	70	72	73	71	71	72	58
01/03/2018	20	71	72	71	71	72	71	58
01/03/2018	21	71	72	74	71	72	71	58
01/03/2018	22	71	72	71	71	72	71	58
01/03/2018	23	71	72	74	71	72	71	58
01/04/2018	 0	72	72	70	71	72	72	58
01/04/2018	 1	72	72	72	71	72	72	58
01/04/2018	 2	72	72	72	71	73	72	58
01/04/2018	 3	72	72	71	71	73	73	58
01/04/2018	 4	73	73	71	71	73	73	58
01/04/2018	 5	73	73	71	72	72	73	59
01/04/2018	 6	73	73	71	71	72	73	58
01/04/2018	 7	73	73	72	72	72	73	58
01/04/2018	 8	73	73	71	71	73	74	59
01/04/2018	 9	73	73	73	72	73	74	58
01/04/2018	10	72	73	71	71	72	73	59
01/04/2018	11	71	72	71	71	72	73	58
01/04/2018	12	71	72	71	71	71	73	58
01/04/2018	13	71	72	71	71	71	73	58
01/04/2018	14	71	72	71	71	71	73	58
01/04/2018	15	71	72	69	71	72	73	58
01/04/2018	15	71	72	69	71	72	73	58
01/04/2018	16	71	72	69	71	72	73	58
01/04/2018	17	71	72	70	71	72	74	58
01/04/2018	18	72	72	69	71	72	74	58
01/04/2018	19	72	72	70	71	73	73	58
01/04/2018	20	72	73	70	71	72	73	58
01/04/2018	21	72	73	70	72	73	73	58
01/04/2018	22	72	73	70	72	73	73	58
01/04/2018	23	72	73	70	71	73	73	58
01/05/2018	 0	72	73	70	71	73	73	58
01/05/2018	 1	72	73	70	71	73	73	58
01/05/2018	 2	73	73	71	72	73	73	58
01/05/2018	 3	74	73	71	72	73	74	58
01/05/2018	 4	73	73	71	72	73	74	58
01/05/2018	 5	73	73	74	72	73	74	58
01/05/2018	 6	74	73	71	72	73	74	58
01/05/2018	 7	73	73	73	72	73	74	58
01/05/2018	 8	73	73	71	72	73	74	58
01/05/2018	 9	73	73	71	72	73	74	58
01/05/2018	10	73	73	73	72	73	73	58
01/05/2018	11	73	73	71	71	72	73	58
01/05/2018	12	72	73	71	71	72	72	58
01/05/2018	13	71	72	69	71	72	71	58
01/05/2018	14	71	72	70	71	72	71	58
01/05/2018	15	71	72	69	71	72	71	58
01/05/2018	16	71	72	69	71	72	71	58
01/05/2018	17	72	73	70	71	72	71	58
01/05/2018	18	72	73	70	71	72	72	58
01/05/2018	19	72	73	70	71	72	72	58
01/05/2018	20	73	73	70	72	72	72	58
01/05/2018	21	73	73	70	72	72	73	58
01/05/2018	22	73	73	70	71	72	73	58
01/05/2018	23	73	73	70	71	72	73	58
01/06/2018	 0	73	73	70	71	73	73	58
01/06/2018	 1	73	73	70	71	73	73	58
01/06/2018	 2	73	73	71	72	73	73	58
01/06/2018	 3	73	73	71	72	73	74	58
01/06/2018	 4	73	73	70	72	73	74	58
01/06/2018	 5	73	73	70	72	73	74	58
01/06/2018	 6	73	73	70	72	73	74	58
01/06/2018	 7	73	73	70	72	73	74	58
01/06/2018	 8	73	73	73	72	73	74	58
01/06/2018	 9	73	74	70	72	73	74	58
01/06/2018	10	72	73	73	72	72	73	58
01/06/2018	11	72	73	71	71	72	72	58
01/06/2018	12	71	73	71	71	72	72	58
01/06/2018	13	71	73	70	71	72	71	58
01/06/2018	14	71	73	70	71	72	71	58
01/06/2018	15	71	73	69	71	72	72	58
01/06/2018	16	71	73	69	71	72	72	58
01/06/2018	17	71	73	69	71	72	72	58
01/06/2018	18	71	73	70	71	72	72	58
01/06/2018	19	71	73	70	71	72	71	58
01/06/2018	20	71	73	70	71	72	72	58
01/06/2018	21	71	73	70	71	72	72	58
01/06/2018	22	72	73	70	71	72	72	58
01/06/2018	23	72	73	70	71	72	72	58
01/07/2018	 0	72	73	70	71	72	73	58
01/07/2018	 1	72	73	70	71	72	73	58
01/07/2018	 2	72	73	70	71	72	73	58
01/07/2018	 3	72	73	70	71	72	73	58
01/07/2018	 4	72	73	70	71	72	72	58
01/07/2018	 5	71	73	71	71	72	72	58
01/07/2018	 6	71	73	70	71	72	72	58
01/07/2018	 7	71	73	70	71	72	71	58
01/07/2018	 8	71	73	73	71	72	71	58
01/07/2018	 9	70	73	70	71	72	72	58
01/07/2018	10	70	73	74	72	72	72	58
01/07/2018	11	70	73	70	71	72	72	58
01/07/2018	12	70	73	74	71	71	72	58
01/07/2018	13	70	73	70	71	71	72	59
01/07/2018	14	70	73	74	72	70	72	59
01/07/2018	15	70	72	72	71	69	72	60
