Date	Hour	S1	S2	S3	S4	S5	S6	S7
01/01/2007	 0	77	83	80	85	76	79	75
01/01/2007	 1	77	82	80	85	76	79	75
01/01/2007	 2	77	82	80	85	76	79	75
01/01/2007	 3	77	83	80	86	77	79	75
01/01/2007	 4	77	82	80	85	76	79	75
01/01/2007	 5	77	82	80	85	76	79	75
01/01/2007	 7	77	82	80	85	76	79	75
01/01/2007	 8	77	82	80	85	77	79	75
01/01/2007	 9	78	83	81	86	77	80	75
01/01/2007	10	77	83	81	86	76	80	75
01/01/2007	11	77	83	81	86	76	80	75
01/01/2007	12	77	83	81	86	76	80	75
01/01/2007	13	77	83	81	86	76	79	75
01/01/2007	14	77	83	80	86	76	79	75
01/01/2007	15	77	82	80	85	76	79	75
01/01/2007	16	77	82	80	85	76	79	75
01/01/2007	17	77	82	80	85	76	79	74
01/01/2007	18	77	82	80	85	76	79	75
01/01/2007	20	77	82	81	86	76	79	75
01/01/2007	21	77	82	81	86	76	80	75
01/01/2007	22	77	82	81	86	76	80	75
01/01/2007	23	78	83	81	86	77	80	75
01/02/2007	 0	78	83	81	86	76	80	75
01/02/2007	 1	78	83	81	86	76	80	75
01/02/2007	 2	78	83	81	86	77	80	75
01/02/2007	 3	78	83	81	86	76	80	75
01/02/2007	 4	78	83	81	86	76	80	75
01/02/2007	 5	78	83	81	86	77	80	75
01/02/2007	 6	78	83	81	86	76	80	75
01/02/2007	 7	78	83	81	86	76	80	75
01/02/2007	 8	78	83	81	86	76	80	75
01/02/2007	10	80	83	81	86	77	80	75
01/02/2007	11	80	82	80	85	76	80	75
01/02/2007	12	80	82	79	84	76	80	74
01/02/2007	13	79	81	79	83	76	81	74
01/02/2007	14	79	81	79	83	76	82	74
01/02/2007	15	80	81	78	83	76	82	74
01/02/2007	17	79	81	78	83	76	82	74
01/02/2007	18	77	81	78	83	76	82	74
01/02/2007	19	77	81	78	82	76	80	74
01/02/2007	20	76	81	78	82	76	79	74
01/02/2007	21	76	81	78	82	75	79	74
01/02/2007	22	76	81	78	82	75	78	74
01/02/2007	23	76	81	78	82	76	78	73
01/03/2007	 0	75	81	78	82	75	78	74
01/03/2007	 2	75	81	77	82	75	77	74
01/03/2007	 3	75	81	77	82	75	77	73
01/03/2007	 4	75	81	77	82	75	77	74
01/03/2007	 5	74	81	77	82	75	76	73
01/03/2007	 6	74	80	77	82	75	76	74
01/03/2007	 7	74	80	77	82	75	76	73
01/03/2007	 8	74	80	77	82	75	76	74
01/03/2007	 9	78	81	78	83	77	77	74
01/03/2007	10	79	81	78	83	76	79	74
01/03/2007	11	80	81	79	84	77	79	74
01/03/2007	13	78	81	79	83	77	80	74
01/03/2007	14	78	81	79	83	76	80	74
01/03/2007	15	78	82	79	83	76	80	74
01/03/2007	16	77	82	79	83	77	80	74
01/03/2007	18	77	82	78	82	77	80	74
01/03/2007	19	76	81	78	82	77	80	74
01/03/2007	20	76	81	78	82	76	79	74
01/03/2007	22	75	81	78	82	75	78	74
01/03/2007	23	74	81	78	82	75	78	74
01/04/2007	 0	74	81	77	82	75	77	74
