Date	Hour	S1	S2	S3	S4	S5	S6	S7
01/01/2019	 0	72	73	71	72	74	73	63
01/01/2019	 1	72	73	71	72	73	73	63
01/01/2019	 2	72	73	71	72	73	73	63
01/01/2019	 3	72	73	71	72	73	73	63
01/01/2019	 4	72	73	73	72	73	73	62
01/01/2019	 5	72	73	71	72	73	73	63
01/01/2019	 6	72	73	71	72	73	73	63
01/01/2019	 7	72	73	73	72	73	73	63
01/01/2019	 8	72	73	71	72	73	73	61
01/01/2019	 9	72	73	73	72	73	73	63
01/01/2019	10	72	73	71	72	74	73	63
01/01/2019	11	72	73	71	72	73	73	63
01/01/2019	12	72	73	74	72	73	73	63
01/01/2019	13	72	73	71	72	73	73	61
01/01/2019	14	72	73	73	72	72	73	63
01/01/2019	15	72	73	71	72	73	73	63
01/01/2019	16	72	73	71	72	73	73	63
01/01/2019	17	72	73	74	72	73	73	61
01/01/2019	18	72	73	71	72	73	73	62
01/01/2019	19	72	73	74	72	73	73	63
01/01/2019	20	72	73	71	72	73	73	63
01/01/2019	21	72	73	75	72	73	73	62
01/01/2019	22	72	73	71	71	73	73	62
01/01/2019	23	72	73	74	72	73	73	63
01/02/2019	 0	72	73	71	72	73	73	63
01/02/2019	 1	72	73	72	72	73	73	63
01/02/2019	 2	72	73	71	72	73	73	63
01/02/2019	 3	72	73	72	72	73	73	61
01/02/2019	 4	72	73	71	72	73	73	63
01/02/2019	 5	72	73	72	72	73	73	63
01/02/2019	 6	72	73	72	72	73	73	63
01/02/2019	 7	72	73	71	72	73	73	63
01/02/2019	 8	72	73	72	72	73	73	63
01/02/2019	 9	72	73	71	72	73	73	63
01/02/2019	10	72	73	72	72	73	73	63
01/02/2019	11	72	73	71	72	73	73	62
01/02/2019	12	72	73	72	72	72	73	63
01/02/2019	13	72	73	71	72	73	73	63
01/02/2019	14	72	73	72	72	73	73	63
01/02/2019	15	72	73	72	72	73	73	63
01/02/2019	16	72	73	71	72	73	73	61
01/02/2019	17	72	73	71	72	73	73	63
01/02/2019	18	72	73	74	72	73	72	62
01/02/2019	19	72	73	71	72	73	72	63
01/02/2019	20	72	73	75	72	73	72	63
01/02/2019	21	72	73	71	72	73	73	63
01/02/2019	22	72	73	75	72	73	73	61
01/02/2019	23	72	73	71	72	73	73	60
01/03/2019	 0	72	73	74	72	73	73	62
01/03/2019	 1	72	73	71	71	73	73	61
01/03/2019	 2	72	73	74	72	73	73	62
01/03/2019	 3	72	73	71	72	73	73	62
01/03/2019	 4	72	73	75	72	73	73	62
01/03/2019	 5	72	73	71	72	73	73	62
01/03/2019	 6	72	74	75	72	72	73	63
01/03/2019	 7	72	73	71	72	73	73	63
01/03/2019	 8	72	73	72	72	73	73	60
01/03/2019	 9	72	73	71	72	73	73	62
01/03/2019	10	72	73	71	72	73	73	63
01/03/2019	11	72	73	72	72	73	72	63
01/03/2019	12	72	73	72	72	71	72	63
01/03/2019	13	72	73	72	72	72	72	61
01/03/2019	14	72	73	71	72	72	72	63
01/03/2019	15	72	73	71	72	73	72	63
01/03/2019	16	72	73	71	72	73	72	63
01/03/2019	17	72	73	71	72	73	72	63
01/03/2019	18	72	73	70	72	73	72	63
01/03/2019	19	72	73	71	72	73	72	63
01/03/2019	20	72	73	71	72	73	72	63
01/03/2019	21	72	73	71	72	73	72	61
01/03/2019	22	72	73	71	72	72	72	63
01/03/2019	23	72	73	71	72	73	72	63
01/04/2019	 0	72	73	71	72	73	72	63
01/04/2019	 1	72	73	71	72	73	72	63
01/04/2019	 2	72	73	72	72	73	72	63
01/04/2019	 3	72	73	71	72	73	72	63
01/04/2019	 4	72	73	71	72	73	72	62
01/04/2019	 5	72	73	71	72	72	73	63
01/04/2019	 6	72	73	71	72	73	72	63
01/04/2019	 7	72	73	73	72	72	72	63
01/04/2019	 8	72	73	71	72	73	73	63
01/04/2019	 9	72	73	74	72	73	72	62
01/04/2019	10	72	73	71	72	73	72	63
01/04/2019	11	72	73	72	72	72	72	63
01/04/2019	12	71	73	71	72	73	72	63
01/04/2019	13	71	73	71	72	73	72	63
01/04/2019	14	71	73	71	72	72	72	63
01/04/2019	15	72	73	71	72	73	72	63
01/04/2019	16	72	73	71	72	73	72	62
01/04/2019	17	72	73	70	72	73	72	63
01/04/2019	18	72	73	70	72	73	72	63
01/04/2019	19	72	73	70	72	73	72	63
01/04/2019	20	71	73	71	72	73	71	63
01/04/2019	21	71	73	71	72	73	72	63
01/04/2019	22	74	74	73	72	72	73	63
01/04/2019	23	72	73	71	72	72	73	63
01/05/2019	 0	72	73	71	72	73	72	63
01/05/2019	 1	72	73	71	72	73	72	63
01/05/2019	 2	72	73	71	72	73	72	63
01/05/2019	 3	72	73	71	72	73	72	63
01/05/2019	 4	72	73	70	72	73	72	63
01/05/2019	 5	72	73	71	72	73	72	63
01/05/2019	 6	72	73	71	72	73	72	63
01/05/2019	 7	72	73	71	72	73	72	63
01/05/2019	 8	72	73	71	72	73	72	63
01/05/2019	 9	72	73	71	72	73	72	63
01/05/2019	10	72	73	71	72	72	72	63
01/05/2019	11	71	73	70	72	72	72	63
01/05/2019	12	71	73	70	72	73	72	63
01/05/2019	13	71	73	70	72	73	72	63
01/05/2019	14	71	73	70	72	72	72	63
01/05/2019	15	71	73	71	73	72	72	63
01/05/2019	16	72	73	71	73	72	72	63
01/05/2019	17	72	73	71	73	73	72	63
01/05/2019	18	71	73	70	72	73	72	63
01/05/2019	19	71	73	70	72	73	72	63
01/05/2019	20	71	73	70	72	73	72	63
01/05/2019	21	71	73	70	72	73	72	63
01/05/2019	22	72	73	70	72	73	72	63
01/05/2019	23	72	73	70	72	73	71	63
01/06/2019	 0	72	73	71	72	73	72	63
01/06/2019	 1	72	73	71	72	72	72	63
01/06/2019	 2	72	73	71	73	72	73	63
01/06/2019	 3	72	73	71	72	73	72	63
01/06/2019	 4	72	73	71	72	73	72	63
01/06/2019	 5	72	73	71	72	73	72	63
01/06/2019	 6	72	73	71	72	73	72	63
01/06/2019	 7	72	73	71	72	73	72	63
01/06/2019	 8	72	73	71	72	73	72	63
01/06/2019	 9	72	73	71	72	73	72	63
01/06/2019	10	72	73	71	72	73	72	63
01/06/2019	11	72	73	71	72	73	72	63
01/06/2019	12	72	73	71	72	73	72	61
01/06/2019	13	72	73	71	72	72	72	63
01/06/2019	14	72	73	71	72	73	72	63
01/06/2019	15	72	73	71	72	73	72	63
01/06/2019	16	72	73	71	72	73	72	63
01/06/2019	17	72	73	71	72	73	72	63
01/06/2019	18	72	73	71	72	73	72	63
01/06/2019	19	72	73	71	72	73	72	63
01/06/2019	20	72	73	70	72	73	72	63
01/06/2019	21	72	73	70	72	73	72	63
