Date	Hour	S1	S2	S3	S4	S5	S6	S7
01/01/2010	 0	67	71	75	77	71	69	75
01/01/2010	 1	67	71	75	77	71	68	72
01/01/2010	 2	67	71	75	77	71	68	74
01/01/2010	 3	67	71	75	77	70	68	75
01/01/2010	 4	67	71	75	77	72	68	76
01/01/2010	 5	67	71	75	77	72	68	73
01/01/2010	 6	67	71	75	77	72	68	77
01/01/2010	 7	67	71	75	77	71	68	72
01/01/2010	 8	67	71	75	77	72	68	72
01/01/2010	 9	67	71	76	77	72	68	73
01/01/2010	10	67	71	76	76	72	68	72
01/01/2010	11	67	72	76	76	72	68	76
01/01/2010	12	67	72	76	76	71	68	73
01/01/2010	13	67	72	76	75	72	68	72
01/01/2010	13	67	72	74	75	72	69	72
01/01/2010	14	67	72	74	76	72	69	72
01/01/2010	15	67	72	73	75	71	70	72
01/01/2010	16	67	72	76	76	72	70	72
01/01/2010	17	67	72	76	76	72	69	73
01/01/2010	18	67	72	75	76	72	69	72
01/01/2010	19	67	71	75	76	71	69	73
01/01/2010	20	67	71	75	76	71	69	72
01/01/2010	21	67	71	75	76	71	68	73
01/01/2010	22	67	71	75	76	71	68	73
01/01/2010	23	67	71	75	76	72	68	72
01/02/2010	 0	67	71	75	77	72	68	73
01/02/2010	 1	67	71	75	77	71	68	76
01/02/2010	 2	67	71	75	77	72	68	72
01/02/2010	 3	67	71	75	77	72	68	73
01/02/2010	 4	67	71	75	77	72	68	74
01/02/2010	 5	67	71	75	77	71	68	73
01/02/2010	 6	67	71	75	77	72	68	74
01/02/2010	 7	66	71	75	77	72	68	75
01/02/2010	 8	66	71	75	77	71	68	73
01/02/2010	 9	66	71	75	77	72	68	73
01/02/2010	10	66	71	76	76	71	68	76
01/02/2010	11	67	71	76	76	72	68	72
01/02/2010	12	67	71	76	76	72	68	73
01/02/2010	13	67	71	76	76	71	68	72
01/02/2010	14	67	72	76	76	71	68	76
01/02/2010	15	67	72	76	75	71	68	72
01/02/2010	16	67	72	74	75	71	68	72
01/02/2010	17	67	71	76	75	71	68	72
01/02/2010	18	67	71	75	75	71	68	73
01/02/2010	19	66	71	75	75	71	68	76
01/02/2010	20	66	71	75	76	71	68	72
01/02/2010	21	66	71	75	77	71	68	73
01/02/2010	22	66	71	75	77	71	68	76
01/02/2010	23	66	71	75	77	71	68	72
01/03/2010	 0	66	71	75	77	71	68	72
01/03/2010	 1	66	71	75	77	71	68	72
01/03/2010	 2	66	71	75	77	71	68	72
01/03/2010	 3	66	71	75	77	71	68	74
01/03/2010	 4	66	71	75	77	71	68	72
01/03/2010	 5	66	71	75	77	71	68	72
01/03/2010	 6	66	71	75	77	71	68	74
01/03/2010	 7	66	71	75	77	71	67	72
01/03/2010	 8	66	71	75	77	71	67	72
01/03/2010	 9	66	71	75	77	71	67	72
01/03/2010	10	66	71	75	77	71	68	74
01/03/2010	11	66	71	76	76	71	68	76
01/03/2010	12	66	71	76	75	71	68	77
01/03/2010	13	67	71	76	76	71	68	73
01/03/2010	14	67	71	76	76	71	68	73
01/03/2010	15	67	71	76	76	71	68	75
01/03/2010	16	67	71	74	76	71	68	72
01/03/2010	17	67	71	73	76	71	68	72
01/03/2010	18	67	71	75	76	71	68	73
01/03/2010	19	67	71	75	76	71	68	72
01/03/2010	20	67	71	75	76	71	68	72
01/03/2010	21	67	71	75	77	71	68	76
01/03/2010	22	67	71	75	77	71	68	72
01/03/2010	23	67	71	75	77	71	68	72
01/04/2010	 0	67	71	75	77	71	68	73
01/04/2010	 1	66	71	75	77	71	68	72
01/04/2010	 2	66	71	75	77	71	68	73
01/04/2010	 3	66	71	75	77	71	68	76
01/04/2010	 4	66	71	75	77	71	68	72
01/04/2010	 5	66	71	75	77	71	68	72
01/04/2010	 6	66	71	75	77	71	68	76
01/04/2010	 7	66	71	75	77	71	68	72
01/04/2010	 8	66	71	75	77	71	68	75
01/04/2010	 9	67	71	76	77	71	68	72
01/04/2010	10	68	71	75	76	72	68	72
01/04/2010	11	69	71	74	76	72	69	76
01/04/2010	11	70	71	74	76	72	69	72
01/04/2010	12	70	71	74	76	72	69	76
01/04/2010	13	70	71	74	76	72	69	73
01/04/2010	14	70	71	73	80	72	69	72
01/04/2010	15	70	71	72	81	72	69	72
01/04/2010	16	70	73	72	80	72	69	72
01/04/2010	17	70	75	72	80	72	69	72
01/04/2010	18	69	75	75	79	72	69	72
01/04/2010	19	69	76	73	77	72	68	72
01/04/2010	20	69	73	74	78	72	68	74
01/04/2010	21	68	72	74	78	72	68	73
01/04/2010	22	68	72	74	78	71	68	73
01/04/2010	23	68	72	75	78	71	68	72
01/05/2010	 0	68	71	75	78	71	68	72
01/05/2010	 1	68	71	75	78	71	68	72
01/05/2010	 2	68	71	74	78	71	68	75
01/05/2010	 3	68	71	75	78	71	68	73
01/05/2010	 4	68	71	75	78	71	68	73
01/05/2010	 5	68	71	75	78	71	68	73
01/05/2010	 6	68	71	75	78	71	68	72
01/05/2010	 7	68	71	75	78	71	68	72
01/05/2010	 8	68	71	75	78	71	68	74
01/05/2010	 9	69	71	74	78	71	68	74
01/05/2010	10	70	72	76	79	72	68	79
01/05/2010	11	71	72	75	80	72	68	77
01/05/2010	12	71	72	74	80	72	68	74
01/05/2010	13	71	73	73	79	72	68	73
01/05/2010	14	72	75	74	79	72	68	72
01/05/2010	15	71	76	73	79	72	69	72
01/05/2010	16	72	76	72	79	72	69	72
01/05/2010	17	72	76	71	77	72	69	72
01/05/2010	18	70	77	73	77	72	69	72
01/05/2010	19	70	75	76	76	72	69	75
01/05/2010	20	69	73	75	76	72	69	74
01/05/2010	21	69	72	75	77	72	69	73
01/05/2010	22	69	72	75	77	72	69	73
01/05/2010	23	69	72	75	77	71	69	72
01/06/2010	 0	68	72	76	77	71	68	72
01/06/2010	 1	68	72	75	77	71	68	76
01/06/2010	 2	68	71	75	77	71	68	73
01/06/2010	 3	68	71	75	78	71	68	74
01/06/2010	 4	68	71	75	78	71	68	72
01/06/2010	 5	68	71	75	78	71	68	73
01/06/2010	 6	68	71	75	78	71	68	74
01/06/2010	 7	68	71	75	78	71	68	75
01/06/2010	 8	68	71	75	78	71	68	72
01/06/2010	 9	68	71	75	78	71	68	73
01/06/2010	10	69	71	76	77	71	68	73
01/06/2010	11	70	73	75	78	71	69	73
01/06/2010	12	71	75	74	79	72	69	73
01/06/2010	13	71	76	73	79	72	70	72
01/06/2010	14	71	77	72	79	72	70	72
01/06/2010	15	71	77	72	79	72	70	73
01/06/2010	16	72	77	72	79	72	70	73
01/06/2010	17	72	77	72	77	73	70	77
01/06/2010	18	70	76	72	74	72	70	72
01/06/2010	19	70	74	73	77	72	70	72
01/06/2010	20	70	73	75	78	73	69	76
01/06/2010	21	69	73	75	78	73	69	74
01/06/2010	22	69	73	75	78	72	69	74
01/06/2010	23	69	72	76	77	72	69	74
01/07/2010	 0	68	72	76	76	72	69	73
01/07/2010	 1	68	72	75	77	72	69	73
01/07/2010	 2	68	72	75	77	72	69	72
01/07/2010	 3	68	72	75	77	71	69	72
01/07/2010	 4	68	72	75	78	71	69	73
01/07/2010	 5	68	72	75	77	71	69	73
01/07/2010	 6	68	72	75	77	71	69	72
01/07/2010	 7	68	72	75	77	71	69	72
01/07/2010	 8	68	72	76	77	71	69	73
01/07/2010	 9	69	72	75	78	72	69	73
01/07/2010	10	70	72	74	76	75	69	80
01/07/2010	11	70	74	73	77	72	69	75
01/07/2010	12	71	76	73	79	72	69	74
01/07/2010	13	71	76	73	79	72	69	73
01/07/2010	14	71	77	72	78	73	69	73
01/07/2010	15	71	77	72	79	73	69	73
01/07/2010	16	72	77	72	77	72	69	73
01/07/2010	17	71	77	72	75	73	69	73
01/07/2010	18	70	77	72	76	72	69	73
01/07/2010	19	70	74	73	76	72	69	73
01/07/2010	20	69	73	73	76	72	69	72
01/07/2010	21	69	72	73	76	72	69	72
01/07/2010	22	69	72	73	76	72	69	72
01/07/2010	23	69	72	73	77	72	69	72
01/08/2010	 0	69	72	73	77	72	69	72
01/08/2010	 1	68	72	76	77	73	69	72
01/08/2010	 2	68	72	76	77	72	69	73
01/08/2010	 3	69	72	75	77	72	69	73
01/08/2010	 4	69	72	75	77	71	69	73
01/08/2010	 5	68	72	75	77	72	69	72
01/08/2010	 6	68	72	75	77	72	69	72
01/08/2010	 7	68	72	76	77	73	69	73
01/08/2010	 8	68	72	76	77	71	69	72
01/08/2010	 9	70	73	74	77	73	69	73
01/08/2010	10	70	76	74	76	72	69	73
01/08/2010	11	71	76	73	76	72	69	72
01/08/2010	12	71	76	73	77	72	70	72
01/08/2010	13	71	76	73	78	72	70	73
01/08/2010	14	71	77	72	77	73	70	74
01/08/2010	15	71	77	71	78	72	71	72
01/08/2010	16	71	77	71	76	70	71	73
01/08/2010	17	71	77	71	75	72	71	72
01/08/2010	18	70	76	71	76	72	70	72
01/08/2010	19	69	74	75	76	72	70	72
01/08/2010	20	69	73	75	76	73	70	72
01/08/2010	21	69	73	75	76	72	70	72
01/08/2010	22	69	72	75	76	71	70	74
01/08/2010	23	69	72	75	77	72	69	73
01/09/2010	 0	68	72	75	77	72	69	72
01/09/2010	 1	68	72	75	77	72	69	73
01/09/2010	 2	68	72	75	77	72	69	74
01/09/2010	 3	68	72	75	77	72	69	73
01/09/2010	 4	68	72	75	77	72	69	73
01/09/2010	 5	68	72	75	77	71	69	74
01/09/2010	 6	68	72	75	77	72	69	73
01/09/2010	 7	68	71	75	77	72	68	73
01/09/2010	 8	68	71	75	77	73	68	73
01/09/2010	 9	68	71	75	77	72	69	73
01/09/2010	10	67	72	76	78	73	69	77
01/09/2010	11	68	72	76	78	73	69	73
01/09/2010	12	68	72	74	77	72	69	73
01/09/2010	13	68	72	74	77	73	69	72
01/09/2010	14	68	72	73	75	72	69	72
01/09/2010	15	68	72	73	75	72	69	72
01/09/2010	16	68	72	73	76	73	69	75
01/09/2010	17	68	71	73	75	73	70	77
01/09/2010	18	68	71	75	76	72	69	74
01/09/2010	19	68	71	75	78	72	69	73
