Date	Hour	S1	S2	S3	S4	S5	S6	S7
01/01/2014	 0	78	80	84	76	70	75	67
01/01/2014	 1	78	80	84	76	70	75	65
01/01/2014	 2	78	80	84	76	70	75	66
01/01/2014	 3	78	80	84	76	70	75	64
01/01/2014	 4	78	80	84	76	70	75	64
01/01/2014	 5	78	80	83	76	70	75	65
01/01/2014	 6	78	80	84	76	70	75	66
01/01/2014	 7	78	80	84	76	70	75	65
01/01/2014	 8	78	80	84	76	70	75	65
01/01/2014	 9	78	80	83	76	70	75	66
01/01/2014	10	78	80	84	76	70	75	66
01/01/2014	11	78	80	84	76	70	75	67
01/01/2014	12	78	80	84	76	70	75	67
01/01/2014	13	78	80	84	76	70	75	65
01/01/2014	14	78	80	83	76	70	75	67
01/01/2014	15	78	80	84	76	70	75	66
01/01/2014	16	78	80	84	76	70	75	66
01/01/2014	17	78	80	83	76	70	75	68
01/01/2014	18	78	80	83	76	70	75	67
01/01/2014	19	78	80	84	76	70	75	65
01/01/2014	20	78	80	84	76	70	75	67
01/01/2014	21	78	80	83	76	70	75	65
01/01/2014	22	78	80	83	76	70	75	66
01/01/2014	23	78	80	83	76	70	75	66
01/02/2014	 0	78	80	83	76	70	75	65
01/02/2014	 1	78	80	83	76	70	75	66
01/02/2014	 2	78	80	83	76	70	75	63
01/02/2014	 3	78	80	83	76	70	75	67
01/02/2014	 4	78	80	84	76	70	75	64
01/02/2014	 5	78	80	83	76	70	75	64
01/02/2014	 6	78	80	83	76	70	75	65
01/02/2014	 7	78	80	83	76	70	75	67
01/02/2014	 8	78	80	83	76	70	75	63
01/02/2014	 9	78	80	83	76	70	75	68
01/02/2014	10	78	80	83	76	70	75	64
01/02/2014	11	78	79	84	76	70	75	63
01/02/2014	12	77	79	82	76	70	76	66
01/02/2014	13	78	79	82	77	70	77	64
01/02/2014	14	78	80	83	77	70	77	68
01/02/2014	15	78	79	83	77	70	77	65
01/02/2014	16	78	80	83	77	71	77	64
01/02/2014	17	78	80	83	77	71	78	65
01/02/2014	18	78	79	83	77	71	77	66
01/02/2014	19	78	80	85	76	70	77	63
01/02/2014	20	78	80	84	76	70	76	64
01/02/2014	21	78	80	84	76	70	76	67
01/02/2014	22	78	79	84	76	70	76	64
01/02/2014	23	78	80	84	76	70	75	68
01/03/2014	 0	78	80	83	76	70	75	68
01/03/2014	 1	78	80	83	76	70	75	63
01/03/2014	 2	78	80	83	76	70	75	63
01/03/2014	 3	78	80	83	76	70	75	68
01/03/2014	 4	78	80	83	76	70	75	63
01/03/2014	 5	78	80	83	76	70	75	68
01/03/2014	 6	78	80	83	76	70	75	64
01/03/2014	 7	78	80	83	76	70	75	65
01/03/2014	 8	78	80	83	76	70	75	63
01/03/2014	 9	78	80	83	76	70	75	64
01/03/2014	10	78	80	83	76	70	75	63
01/03/2014	11	77	79	82	76	70	76	63
01/03/2014	12	77	80	83	77	71	77	63
01/03/2014	13	77	80	83	77	71	77	63
01/03/2014	14	78	80	83	77	70	77	68
01/03/2014	15	78	80	83	77	70	78	67
01/03/2014	16	78	80	83	77	70	78	64
01/03/2014	17	77	80	83	77	72	78	64
01/03/2014	18	78	80	83	77	71	78	64
01/03/2014	19	78	80	83	77	71	77	63
01/03/2014	20	78	80	83	77	71	77	66
01/03/2014	21	78	80	85	77	71	76	76
01/03/2014	22	78	80	84	77	70	76	66
01/03/2014	23	78	80	84	77	70	76	64
01/04/2014	 0	78	80	84	76	70	76	67
01/04/2014	 1	78	80	83	76	70	76	64
01/04/2014	 2	78	80	83	76	70	76	68
01/04/2014	 3	78	80	84	76	70	76	64
01/04/2014	 4	78	80	84	76	70	75	67
01/04/2014	 5	78	80	83	76	70	75	66
01/04/2014	 6	78	80	83	76	70	75	64
01/04/2014	 7	78	80	83	76	70	75	66
01/04/2014	 8	78	80	83	76	70	75	64
01/04/2014	 9	78	80	83	76	70	75	66
01/04/2014	10	78	80	83	76	70	75	66
01/04/2014	11	78	80	83	76	70	75	66
01/04/2014	12	78	80	83	76	70	75	63
01/04/2014	13	78	79	83	76	70	75	64
01/04/2014	14	77	79	82	76	70	75	65
01/04/2014	15	77	79	82	76	70	75	68
01/04/2014	16	77	79	82	76	70	75	67
01/04/2014	17	77	79	83	76	70	75	64
01/04/2014	18	77	79	83	76	70	75	68
01/04/2014	19	77	79	83	76	70	75	68
01/04/2014	20	77	79	83	76	70	75	65
01/04/2014	21	77	79	83	76	70	75	65
01/04/2014	22	77	79	83	76	70	75	68
01/04/2014	23	77	79	85	76	70	75	64
01/05/2014	 0	78	79	84	76	70	75	65
01/05/2014	 1	78	79	84	76	70	75	67
01/05/2014	 2	78	79	84	75	70	75	66
01/05/2014	 3	77	79	84	75	70	75	63
01/05/2014	 4	77	79	83	75	70	75	64
01/05/2014	 5	77	79	84	75	70	75	67
01/05/2014	 6	77	79	83	75	70	75	66
01/05/2014	 7	77	79	83	75	70	75	64
01/05/2014	 8	77	79	83	75	70	75	65
01/05/2014	 9	77	79	83	75	70	75	66
01/05/2014	10	77	79	83	75	70	75	68
01/05/2014	11	77	79	83	75	70	75	63
01/05/2014	12	77	79	83	76	70	75	65
01/05/2014	13	77	79	83	75	70	75	68
01/05/2014	14	77	79	83	76	70	75	63
01/05/2014	15	77	79	83	75	70	75	68
01/05/2014	16	77	79	83	76	70	75	66
01/05/2014	17	77	79	83	76	70	75	65
01/05/2014	18	77	80	82	76	71	75	65
01/05/2014	19	77	81	83	76	70	76	66
01/05/2014	20	77	81	83	76	70	76	68
01/05/2014	21	77	81	83	77	70	76	63
01/05/2014	22	78	81	85	76	70	76	64
01/05/2014	23	78	80	84	76	70	76	63
01/06/2014	 0	78	80	83	76	70	76	64
01/06/2014	 1	78	80	83	76	70	76	67
01/06/2014	 2	78	80	83	76	70	76	68
01/06/2014	 3	77	80	83	76	70	76	68
01/06/2014	 4	77	80	83	76	70	75	68
01/06/2014	 5	77	80	83	76	70	75	63
01/06/2014	 6	77	80	83	76	70	75	67
01/06/2014	 7	77	80	83	76	70	75	65
01/06/2014	 8	77	80	83	75	70	75	66
01/06/2014	 9	77	80	83	76	70	75	65
01/06/2014	10	77	80	83	76	70	75	67
01/06/2014	11	77	80	85	76	70	75	65
01/06/2014	12	77	80	85	76	70	75	63
01/06/2014	13	77	80	85	76	70	75	67
01/06/2014	14	77	80	86	77	70	75	68
01/06/2014	15	77	80	86	77	70	75	64
01/06/2014	16	77	80	85	77	70	75	66
01/06/2014	17	77	80	85	77	71	75	65
01/06/2014	18	77	80	87	77	71	75	65
01/06/2014	19	77	80	87	77	71	75	67
01/06/2014	20	77	80	86	76	69	75	65
01/06/2014	21	77	80	86	76	70	75	64
01/06/2014	22	77	80	86	76	70	75	66
01/06/2014	23	77	80	86	76	70	75	64
01/07/2014	 0	77	80	86	76	70	75	65
01/07/2014	 1	77	80	85	76	70	75	65
01/07/2014	 2	77	80	85	76	70	75	69
01/07/2014	 3	77	80	86	76	70	75	64
01/07/2014	 4	77	80	85	76	70	75	65
01/07/2014	 5	77	80	85	76	70	75	69
01/07/2014	 6	77	80	85	76	70	75	68
01/07/2014	 7	77	79	85	76	70	75	67
01/07/2014	 8	77	79	85	75	70	75	67
01/07/2014	 9	78	78	83	75	70	75	67
01/07/2014	10	77	78	84	75	70	75	68
01/07/2014	11	78	78	84	76	71	75	65
01/07/2014	12	78	78	84	75	71	76	65
01/07/2014	13	78	80	84	76	71	76	68
01/07/2014	14	78	81	85	76	71	76	67
01/07/2014	15	78	81	85	76	71	76	66
01/07/2014	16	78	81	85	76	71	77	66
01/07/2014	17	77	81	84	76	71	77	67
01/07/2014	18	77	81	84	76	71	76	66
01/07/2014	19	77	81	85	76	71	75	68
01/07/2014	20	77	80	84	76	71	75	67
01/07/2014	21	77	80	87	76	71	75	68
01/07/2014	22	77	79	87	75	70	75	68
01/07/2014	23	77	79	86	75	70	74	68
01/08/2014	 0	77	79	86	75	70	74	68
01/08/2014	 1	77	79	85	75	70	74	67
01/08/2014	 2	77	79	86	75	70	74	67
01/08/2014	 3	77	79	85	75	70	74	66
01/08/2014	 4	77	79	85	75	70	74	66
01/08/2014	 5	77	78	85	75	70	74	66
01/08/2014	 6	77	78	85	75	70	74	66
01/08/2014	 7	77	78	85	75	70	74	67
01/08/2014	 8	77	78	85	75	70	74	67
01/08/2014	 9	77	78	85	75	70	74	69
01/08/2014	10	77	78	85	75	70	74	68
01/08/2014	11	78	79	84	76	70	75	67
01/08/2014	12	77	80	84	76	70	76	65
01/08/2014	13	78	80	84	77	70	76	65
01/08/2014	14	78	80	85	77	70	76	64
01/08/2014	15	78	80	85	78	70	76	68
01/08/2014	16	78	81	85	77	71	76	69
